Script path;Shell issues detected;common linux file;shellcheck/semgrep;
/usr/sbin/ddns (-rwxrwxr-x root root);2;no;NA;
/usr/sbin/domain_login (-rwxr-xr-x root root);3;no;NA;
/usr/sbin/leds_set_nightmode (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/rsched_conf (-rwxr-xr-x root root);3;no;NA;
/usr/sbin/save_tmp_config_conf (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/smartip_add_reservation_list (-rwxrwxr-x root root);24;no;NA;
/usr/sbin/start_nrd (-rwxr-xr-x root root);2;no;NA;
/usr/sbin/updateassoclist.sh (-rwxr-xr-x root root);4;no;NA;
/usr/sbin/updateneigh.sh (-rwxr-xr-x root root);4;no;NA;
/usr/share/miniupnpd/firewall.include (-rw-r--r-- root root);3;no;NA;
/usr/sbin/wifi_try (-rwxr-xr-x root root);15;no;NA;
/usr/share/udhcpc/default.script (-rwxrwxr-x root root);4;no;NA;
/usr/sbin/wifi_led.sh (-rwxr-xr-x root root);61;no;NA;
