binary;function;function count;common linux file;networking;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);sprintf;46;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);sprintf;144;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);strcat;2;false;yes;
/usr/lib/libcfg.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);strcat;4;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);fprintf;10;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);strcpy;2;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libcrypto.so.1.0.0 (-rwxr-xr-x root root);strcat;4;true;yes;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);strcat;7;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);strcpy;4;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);sprintf;7;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);strcpy;15;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);system;1;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);strcpy;42;false;no;
/usr/lib/libnet.so.0 (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/rtmp/crtmpserver (-rwxr-xr-x root root);system;3;false;yes;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);system;1;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);system;15;false;no;
/usr/lib/libcrypto.so.1.0.0 (-rwxr-xr-x root root);strcpy;7;true;yes;
/usr/lib/libFtp.so (-rw-r--r-- root root);printf;9;false;yes;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);system;3;false;no;
/usr/lib/libnet.so.0 (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/lib/libcfg.so (-rw-r--r-- root root);strcpy;20;false;no;
/usr/lib/libFVconfig.so (-rw-r--r-- root root);system;24;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);fprintf;7;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);printf;11;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);fprintf;28;true;no;
/usr/lib/libFtp.so (-rw-r--r-- root root);sprintf;4;false;yes;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);fprintf;11;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);system;6;false;no;
/lib/libutil-0.9.30.3.so (-rwxr-xr-x 500 500);strcpy;1;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);sprintf;4;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);sprintf;8;false;no;
/usr/lib/libFtp.so (-rw-r--r-- root root);strcpy;5;false;yes;
